,Magnitude,Place,Datetime,Depth
179,3.7,"57 km SE of Boca de Yuma, Dominican Republic",2021-07-27 16:20:44 (UTC),83.0 km
180,2.7,"6 km ENE of P?hala, Hawaii",2021-07-27 15:49:07 (UTC),36.6 km
181,2.6,"64 km ENE of Ugashik, Alaska",2021-07-27 14:25:45 (UTC),141.0 km
182,2.7,"6 km SW of La Parguera, Puerto Rico",2021-07-27 13:55:24 (UTC),11.0 km
183,2.8,"87 km SE of King Cove, Alaska",2021-07-27 12:12:33 (UTC),16.7 km
184,4.3,"111 km WSW of Murghob, Tajikistan",2021-07-27 10:41:31 (UTC),149.0 km
185,3.6,"55 km WSW of Akhiok, Alaska",2021-07-27 10:36:26 (UTC),36.4 km
186,5.0,South Sandwich Islands region,2021-07-27 08:23:06 (UTC),48.0 km
187,4.7,"Volcano Islands, Japan region",2021-07-27 07:39:58 (UTC),10.0 km
188,2.9,"31 km SE of Mina, Nevada",2021-07-27 07:11:02 (UTC),8.8 km
189,2.5,"64 km N of Petersville, Alaska",2021-07-27 06:55:21 (UTC),114.9 km
190,4.2,"31 km WSW of Jacó, Costa Rica",2021-07-27 06:37:21 (UTC),10.0 km
191,4.8,north of Severnaya Zemlya,2021-07-27 06:17:57 (UTC),10.0 km
192,4.7,south of the Fiji Islands,2021-07-27 05:55:41 (UTC),548.2 km
193,4.4,"15 km NNW of Ise, Japan",2021-07-27 05:37:51 (UTC),354.2 km
194,3.2,"6 km WSW of Fuig, Puerto Rico",2021-07-27 03:48:23 (UTC),8.0 km
195,3.7,"13 km S of Punta Cana, Dominican Republic",2021-07-27 02:15:21 (UTC),147.0 km
196,4.2,"74 km WNW of San Antonio de los Cobres, Argentina",2021-07-27 00:48:22 (UTC),181.2 km
197,2.6,"17 km NE of Cooper Landing, Alaska",2021-07-26 23:04:43 (UTC),35.0 km
225,2.5,"49 km ENE of Pleasant Valley, Alaska",2021-07-26 22:43:55 (UTC),17.8 km
226,4.7,west of Macquarie Island,2021-07-26 22:33:22 (UTC),10.0 km
227,2.9,"32km SSW of Smith Valley, NV",2021-07-26 21:40:11 (UTC),2.5 km
228,3.2,"163 km SSE of Atka, Alaska",2021-07-26 21:39:09 (UTC),10.0 km
229,2.5,"7 km S of Volcano, Hawaii",2021-07-26 21:10:21 (UTC),1.5 km
230,4.1,"19 km SW of Lefkáda, Greece",2021-07-26 21:09:59 (UTC),10.0 km
231,4.9,"25 km WNW of Cartagena, Chile",2021-07-26 20:58:05 (UTC),31.6 km
232,4.5,"23 km ESE of Namie, Japan",2021-07-26 20:19:22 (UTC),92.7 km
233,4.5,south of the Fiji Islands,2021-07-26 19:50:45 (UTC),618.3 km
234,3.8,"93 km S of Adak, Alaska",2021-07-26 19:03:04 (UTC),13.6 km
235,4.0,"67 km S of Adak, Alaska",2021-07-26 18:08:38 (UTC),35.0 km
236,4.6,"90 km SSW of Corinto, Nicaragua",2021-07-26 17:33:07 (UTC),39.0 km
237,4.8,"99 km WNW of Luwuk, Indonesia",2021-07-26 17:10:10 (UTC),5.8 km
238,5.0,"9 km NNW of Petropavlovsk-Kamchatsky, Russia",2021-07-26 16:11:23 (UTC),139.9 km
239,3.2,"3 km ENE of Pole Ojea, Puerto Rico",2021-07-26 15:58:25 (UTC),7.0 km
240,4.5,"88 km SSE of Kuril’sk, Russia",2021-07-26 14:51:14 (UTC),96.6 km
241,4.5,Fiji region,2021-07-26 14:37:11 (UTC),569.7 km
242,2.9,"46 km WNW of Ninilchik, Alaska",2021-07-26 12:23:25 (UTC),87.1 km
243,2.7,"3 km WSW of Indios, Puerto Rico",2021-07-26 12:21:20 (UTC),15.0 km
244,3.0,"102 km ENE of Ouzinkie, Alaska",2021-07-26 12:12:03 (UTC),6.9 km
245,6.2,"97 km WNW of Luwuk, Indonesia",2021-07-26 12:09:06 (UTC),10.7 km
246,2.6,"53 km S of Whites City, New Mexico",2021-07-26 11:28:51 (UTC),7.5 km
247,4.3,"15 km NNE of Murghob, Tajikistan",2021-07-26 11:08:33 (UTC),158.5 km
248,4.1,"9 km ESE of Mentasta Lake, Alaska",2021-07-26 09:10:38 (UTC),17.6 km
249,2.6,"12km N of Laytonville, CA",2021-07-26 08:22:39 (UTC),6.9 km
250,3.2,"10km NW of Tehachapi, CA",2021-07-26 08:21:18 (UTC),5.5 km
251,4.3,"128 km W of El Aguilar, Argentina",2021-07-26 07:58:09 (UTC),242.1 km
252,5.4,Pacific-Antarctic Ridge,2021-07-26 07:45:19 (UTC),10.0 km
253,4.5,"23 km NW of Puerto Ocopa, Peru",2021-07-26 07:34:57 (UTC),10.0 km
254,4.8,"75 km WNW of Hihifo, Tonga",2021-07-26 06:29:43 (UTC),150.5 km
255,2.8,"1 km NW of Cidra, Puerto Rico",2021-07-26 06:20:09 (UTC),30.0 km
256,4.9,"37 km E of W?ngjing, India",2021-07-26 05:03:30 (UTC),66.8 km
257,4.3,south of the Fiji Islands,2021-07-26 04:05:20 (UTC),418.1 km
258,5.7,"98 km WNW of Luwuk, Indonesia",2021-07-26 03:52:03 (UTC),18.2 km
259,4.6,"68 km S of Punta de Burica, Panama",2021-07-26 03:48:10 (UTC),10.0 km
260,4.2,"13 km S of Ise, Japan",2021-07-26 03:23:06 (UTC),364.6 km
261,4.9,Kermadec Islands region,2021-07-26 02:57:37 (UTC),10.0 km
262,5.1,"73 km ENE of Mutsu, Japan",2021-07-26 02:16:16 (UTC),56.8 km
263,3.7,"103 km NE of Miches, Dominican Republic",2021-07-26 01:43:37 (UTC),55.0 km
264,4.1,"73 km SW of Coquimbo, Chile",2021-07-26 01:27:08 (UTC),10.0 km
265,3.2,"11km W of Alder Springs, CA",2021-07-26 01:21:52 (UTC),4.7 km
266,4.5,"31 km SE of Luján, Argentina",2021-07-26 01:05:15 (UTC),10.0 km
267,4.8,Kermadec Islands region,2021-07-26 00:04:46 (UTC),10.0 km
268,2.9,"17km W of Petrolia, CA",2021-07-25 23:20:52 (UTC),33.1 km
269,4.2,Kuril Islands,2021-07-25 23:10:14 (UTC),154.9 km
270,4.5,south of the Fiji Islands,2021-07-25 22:23:48 (UTC),469.7 km
298,4.5,south of the Fiji Islands,2021-07-25 22:08:10 (UTC),486.9 km
299,4.6,"159 km SSE of Kadzhi-Say, Kyrgyzstan",2021-07-25 20:59:16 (UTC),10.0 km
300,4.2,"8 km SW of Hasanbeyli, Turkey",2021-07-25 20:55:05 (UTC),10.0 km
301,3.5,"18 km NE of Culebra, Puerto Rico",2021-07-25 19:46:44 (UTC),23.0 km
302,4.4,"108 km W of Vallenar, Chile",2021-07-25 19:13:00 (UTC),35.0 km
303,4.8,"95 km N of Hihifo, Tonga",2021-07-25 18:48:24 (UTC),94.5 km
304,2.7,"28 km SSE of Waimea, Hawaii",2021-07-25 18:15:46 (UTC),21.5 km
305,3.3,"14 km WSW of Hasanbeyli, Turkey",2021-07-25 17:57:29 (UTC),10.0 km
306,5.1,Kermadec Islands region,2021-07-25 16:09:50 (UTC),10.0 km
307,5.3,Kermadec Islands region,2021-07-25 16:07:36 (UTC),10.0 km
308,4.5,"3 km NNW of Gyalshing, India",2021-07-25 15:09:21 (UTC),10.0 km
309,4.9,"161 km WSW of Merizo Village, Guam",2021-07-25 14:41:31 (UTC),10.0 km
310,2.9,"5 km WSW of La Parguera, Puerto Rico",2021-07-25 14:31:01 (UTC),10.0 km
311,5.0,Kermadec Islands region,2021-07-25 13:51:38 (UTC),10.0 km
312,2.6,"2 km SW of Fuig, Puerto Rico",2021-07-25 13:47:14 (UTC),11.0 km
313,3.8,"69 km S of Adak, Alaska",2021-07-25 12:18:24 (UTC),35.0 km
314,4.0,"Izu Islands, Japan region",2021-07-25 11:47:53 (UTC),506.9 km
315,5.8,Kermadec Islands region,2021-07-25 10:17:00 (UTC),10.0 km
316,3.7,"33 km NE of Chase, Alaska",2021-07-25 09:27:37 (UTC),25.5 km
317,5.2,"Kermadec Islands, New Zealand",2021-07-25 07:13:48 (UTC),47.4 km
318,3.5,"22 km NNE of Tierras Nuevas Poniente, Puerto Rico",2021-07-25 06:02:05 (UTC),76.0 km
319,5.0,"6 km NNE of Nueva América, Mexico",2021-07-25 05:21:32 (UTC),204.1 km
320,4.2,"198 km ENE of Levuka, Fiji",2021-07-25 05:05:55 (UTC),563.4 km
321,4.3,"15 km WSW of Dompu, Indonesia",2021-07-25 04:32:26 (UTC),141.8 km
322,4.6,"99 km SW of Altata, Mexico",2021-07-25 04:25:58 (UTC),10.0 km
323,5.4,"100 km ENE of La Rivera, Mexico",2021-07-25 03:38:57 (UTC),9.6 km
324,3.5,"99 km N of Cruz Bay, U.S. Virgin Islands",2021-07-25 03:11:25 (UTC),36.0 km
325,2.8,"12km WNW of Alder Springs, CA",2021-07-25 02:35:29 (UTC),2.3 km
326,2.9,"45km SSE of San Clemente Is. (SE tip), CA",2021-07-25 01:48:32 (UTC),24.6 km
327,3.2,"42 km NNE of Iquique, Chile",2021-07-25 01:45:34 (UTC),54.3 km
328,4.3,"76 km SSW of Masachapa, Nicaragua",2021-07-25 00:41:59 (UTC),30.3 km
329,4.6,"19 km W of Hihifo, Tonga",2021-07-25 00:21:24 (UTC),120.3 km
330,4.6,"70 km SSW of Masachapa, Nicaragua",2021-07-25 00:03:53 (UTC),27.5 km
331,2.8,"82 km NW of Yakutat, Alaska",2021-07-24 23:41:51 (UTC),4.9 km
332,4.4,"25 km SSE of Londres, Argentina",2021-07-24 23:23:17 (UTC),216.7 km
333,4.7,"123 km NNE of Hirara, Japan",2021-07-24 23:22:52 (UTC),103.5 km
334,4.4,"20 km ESE of Khorugh, Tajikistan",2021-07-24 23:11:22 (UTC),106.7 km
335,2.9,"5km WSW of Petrolia, CA",2021-07-24 23:06:11 (UTC),23.5 km
336,4.1,"3 km SE of Ano Arhanes, Greece",2021-07-24 21:56:56 (UTC),11.7 km
337,4.3,"251 km S of Sinabang, Indonesia",2021-07-24 21:42:19 (UTC),17.9 km
338,3.0,"6 km ENE of P?hala, Hawaii",2021-07-24 20:39:53 (UTC),34.3 km
339,4.8,"24 km SSE of Finschhafen, Papua New Guinea",2021-07-24 19:49:42 (UTC),74.8 km
340,3.1,"7 km WNW of Aguadilla, Puerto Rico",2021-07-24 19:34:22 (UTC),19.0 km
341,2.5,"66 km ENE of Pedro Bay, Alaska",2021-07-24 18:32:18 (UTC),106.0 km
342,4.2,"79 km S of Adak, Alaska",2021-07-24 18:11:01 (UTC),27.9 km
343,2.6,"55 km S of Whites City, New Mexico",2021-07-24 17:24:39 (UTC),7.6 km
371,4.5,Banda Sea,2021-07-24 17:12:02 (UTC),138.5 km
372,4.4,south of the Fiji Islands,2021-07-24 16:45:46 (UTC),543.7 km
373,4.9,southeast of the Loyalty Islands,2021-07-24 16:36:46 (UTC),106.9 km
374,4.2,"245 km NW of Tianpeng, China",2021-07-24 16:23:49 (UTC),10.0 km
375,2.8,"6 km WSW of La Parguera, Puerto Rico",2021-07-24 15:28:05 (UTC),11.0 km
376,3.1,"4 km WSW of Fuig, Puerto Rico",2021-07-24 14:38:50 (UTC),10.0 km
377,2.6,"26 km SSE of Pedro Bay, Alaska",2021-07-24 14:11:51 (UTC),126.0 km
378,4.9,"155 km NW of Constitución, Chile",2021-07-24 13:55:58 (UTC),10.0 km
379,2.6,"10km W of Alder Springs, CA",2021-07-24 13:37:11 (UTC),0.4 km
380,2.5,"3 km ESE of La Parguera, Puerto Rico",2021-07-24 13:32:43 (UTC),7.0 km
381,4.0,"60 km S of Adak, Alaska",2021-07-24 13:30:06 (UTC),45.2 km
382,5.1,"42 km W of Gizo, Solomon Islands",2021-07-24 13:19:56 (UTC),86.2 km
383,5.3,"199 km NW of Tobelo, Indonesia",2021-07-24 13:07:23 (UTC),66.3 km
384,6.1,Kermadec Islands region,2021-07-24 12:51:28 (UTC),7.0 km
385,4.4,"33 km WSW of Khorugh, Tajikistan",2021-07-24 11:21:11 (UTC),91.1 km
386,2.6,"6 km S of Volcano, Hawaii",2021-07-24 11:08:29 (UTC),1.9 km
387,4.2,"142 km NW of Kandrian, Papua New Guinea",2021-07-24 10:58:23 (UTC),253.2 km
388,3.2,"11 km NW of Tilden, Texas",2021-07-24 08:08:43 (UTC),4.0 km
389,2.8,"2 km WSW of Point MacKenzie, Alaska",2021-07-24 08:06:57 (UTC),35.9 km
390,2.5,"6 km S of Volcano, Hawaii",2021-07-24 07:22:51 (UTC),1.8 km
391,4.3,"133 km NNE of Baukau, Timor Leste",2021-07-24 07:17:26 (UTC),347.9 km
392,2.6,"33km NW of Bridgeport, CA",2021-07-24 06:44:05 (UTC),7.8 km
393,2.6,"8 km E of Waimea, Hawaii",2021-07-24 05:51:19 (UTC),39.4 km
394,3.0,"45 km ENE of Tonopah, Nevada",2021-07-24 05:36:35 (UTC),0.9 km
395,3.8,"46 km ENE of Tonopah, Nevada",2021-07-24 05:34:46 (UTC),1.0 km
396,4.6,"53 km SW of Puerto El Triunfo, El Salvador",2021-07-24 04:51:20 (UTC),59.3 km
397,4.8,"273 km NE of Santa Cruz das Flores, Portugal",2021-07-24 03:59:55 (UTC),10.0 km
398,2.7,"93 km NW of Aleneva, Alaska",2021-07-24 03:37:22 (UTC),102.7 km
399,4.6,"265 km E of Levuka, Fiji",2021-07-24 03:10:13 (UTC),571.2 km
400,2.5,"14 km S of Fern Forest, Hawaii",2021-07-24 03:06:23 (UTC),5.9 km
401,4.8,"166 km SE of Hihifo, Tonga",2021-07-24 02:55:46 (UTC),10.0 km
402,4.0,"36 km NNW of San Pedro de Atacama, Chile",2021-07-24 02:29:06 (UTC),115.7 km
403,5.0,"3 km NW of Thrapsanón, Greece",2021-07-24 02:07:37 (UTC),7.5 km
404,4.7,Vanuatu region,2021-07-24 02:06:49 (UTC),613.3 km
405,2.5,"17km SSE of Lopez Point, CA",2021-07-24 01:43:46 (UTC),3.2 km
406,5.5,south of Tonga,2021-07-23 23:13:52 (UTC),10.0 km
407,4.4,"39 km W of Cittadella del Capo, Italy",2021-07-23 22:52:26 (UTC),263.0 km
408,4.2,"50 km SW of Puerto El Triunfo, El Salvador",2021-07-23 22:13:55 (UTC),58.2 km
409,3.0,"3 km SSE of Lamboglia, Puerto Rico",2021-07-23 22:01:25 (UTC),32.0 km
410,4.3,"Izu Islands, Japan region",2021-07-23 21:55:48 (UTC),147.0 km
411,5.8,"6 km SSE of Hukay, Philippines",2021-07-23 20:57:18 (UTC),122.2 km
412,6.7,"14 km WNW of Tingloy, Philippines",2021-07-23 20:48:57 (UTC),110.0 km
413,4.3,"32 km S of Jurm, Afghanistan",2021-07-23 20:12:52 (UTC),206.6 km
414,2.7,"4km W of Petrolia, CA",2021-07-23 20:09:52 (UTC),25.6 km
415,4.4,"3 km SSE of Finca Blanco, Panama",2021-07-23 20:03:11 (UTC),15.7 km
416,3.1,"33km ENE of Dardanelle, CA",2021-07-23 19:47:49 (UTC),5.4 km
444,4.5,"106 km S of Kuqa, China",2021-07-23 19:44:07 (UTC),10.0 km
445,5.0,southern Mid-Atlantic Ridge,2021-07-23 19:24:31 (UTC),10.0 km
446,2.6,"12km NW of Parkfield, CA",2021-07-23 18:34:30 (UTC),7.5 km
447,4.5,"52 km NE of Kuqa, China",2021-07-23 17:44:28 (UTC),28.0 km
448,3.7,"112 km SSW of Nikolski, Alaska",2021-07-23 16:48:44 (UTC),35.0 km
449,2.5,"8 km S of Guánica, Puerto Rico",2021-07-23 16:35:50 (UTC),15.0 km
450,3.9,"153 km NNW of The Valley, Anguilla",2021-07-23 16:18:15 (UTC),58.0 km
451,3.8,Leeward Islands,2021-07-23 15:46:19 (UTC),90.0 km
452,2.5,"15 km S of Fern Forest, Hawaii",2021-07-23 12:38:26 (UTC),6.0 km
453,2.8,"29km SSW of Smith Valley, NV",2021-07-23 11:38:18 (UTC),2.1 km
454,2.6,"28 km NW of Mosquito Lake, Alaska",2021-07-23 10:51:05 (UTC),2.1 km
